,Human,BLEU-1,BLEU-4,ROUGE-L,METEOR,CIDEr,BERTScore,BLEU-1-KPQA,ROUGE-L-KPQA,BERTScore-KPQA
50,0.5,0.19999999996000023,1.699044244302013e-12,0.37888198757763975,0.2857142857142857,0.3280148579348743,0.6131834983825684,0.6922743332787273,0.8197700622406711,0.8559144735336304
51,0.2,3.678794404356842e-16,2.068738122000421e-09,0.0,0.0,0.0,0.3295004963874817,1.4076609780230018e-16,0.0,0.32951968908309937
52,0.2,9.99999998000001e-16,5.62341324487423e-09,0.0,0.0,0.0,0.27372536063194275,4.584947265340489e-16,0.0,0.27123022079467773
53,0.2,0.0020433857171886552,6.111148684289699e-10,0.11776061776061778,0.01484230055658627,0.01841255144518047,0.4174535274505615,0.0006526138777897928,0.14406626218441038,0.4786640405654907
54,0.2,1.3533528296594253e-16,7.610462242515746e-10,0.0,0.0,0.0,0.3755287528038025,1.4242388043941327e-16,0.0,0.38739609718322754
55,0.2,4.999999995000003e-16,2.659147946145741e-11,0.0,0.0,0.0,0.3628356456756592,6.290749856225115e-16,0.0,0.3697400689125061
56,0.2,2.38843770032034e-16,8.141367511097532e-14,0.0,0.0,0.0,0.458172082901001,2.709301512494637e-16,0.0,0.4723649322986603
57,1.0,0.49999999950000074,1.4953487799127914e-07,0.5,0.1,0.35837392591303335,0.5907333493232727,0.32774304315104835,0.34055417912927405,0.6258886456489563
58,0.6,0.3333333332222226,6.389431039534237e-10,0.5495495495495495,0.3333333333333333,1.340691205999752,0.7707527279853821,0.35863063404636525,0.5897968161237651,0.8115366697311401
59,1.0,0.0003354626272315899,1.060825972711468e-08,0.17478510028653294,0.07228915662650602,0.1597728334796159,0.5442851185798645,0.00012340980383801863,0.7917593274339818,0.8055857419967651
60,0.2,0.0919698602468758,9.346579564396796e-13,0.15721649484536082,0.07136933969759478,0.11001270466933191,0.47446003556251526,0.06981123462442441,0.16715102324652875,0.5199863910675049
61,0.2,6.295853423721496e-17,2.1460411762736674e-14,0.0,0.0,0.0,0.4002906084060669,4.2140164268164636e-17,0.0,0.4211651384830475
62,0.7,0.4999999997500003,1.6990442435374433e-08,0.5,0.15922322067410846,0.9157554186372554,0.6401469111442566,0.3938031464361123,0.5088660437278998,0.7248921990394592
63,1.0,0.49999999950000074,1.4953487799127914e-07,0.5,0.1,0.26570166984449184,0.5396478176116943,0.2559926827114822,0.3247481918043696,0.5714099407196045
64,0.8,0.3333333331111115,6.389431037404428e-10,0.3333333333333333,0.08000000000000002,0.575420166199661,0.5776098370552063,0.0937914656268777,0.10128832178684752,0.5201464295387268
65,0.2,0.49999999950000074,1.4953487799127914e-07,0.5,0.1,0.26570166984449184,0.46037888526916504,0.19962332555341938,0.2361925375430896,0.49748241901397705
66,0.2,9.99999998000001e-16,5.62341324487423e-09,0.0,0.0,0.0,0.32073360681533813,1.1049070600976574e-15,0.0,0.32073360681533813
67,0.2,0.6666666662222226,4.272870060579654e-06,0.6666666666666666,0.19106786480893023,1.4348264689776187,0.608052670955658,0.3621476484747951,0.40604335656453194,0.6226421594619751
68,0.2,0.1353352829659427,4.2796774227674215e-06,0.45864661654135336,0.14814814814814814,1.3653748850394916,0.6694875955581665,0.0497870682150931,0.4482181582364845,0.631665050983429
69,0.2,0.045558079604693526,3.331145692394918e-13,0.08531468531468532,0.01556420233463035,0.03052246286203304,0.5265951752662659,0.03158534064936735,0.0031618831564301014,0.5166366100311279
70,1.0,0.0067379469856096216,2.1307259243972606e-07,0.25311203319502074,0.11267605633802819,0.36264098252896787,0.6183050274848938,0.0009118819637080369,0.421974425475619,0.6980303525924683
